1 Author,median
josé luís figueiroa,2.7718607237980772
josé luís neto,2.7665970817196897
josé luís tinoco,2.805674572168663
josé manuel ciria,2.775194448957019
josé moita macedo,2.773527586377548
josé mouga,2.5611621557722075
josé mourageorge,2.7579997144823603
josé nuno da camâra pereira,2.773527586377548
josé paulo ferro,2.805674572168663
josé pedro croft,4.563758814988034
josé penicheiro,2.0839028750452266
josé penincheiro,2.7709371210654083
josé pádua,2.400686366109854
josé ribeiro,2.7649302191402185
josé roberto dias nobre,2.77001351833274
josé rodrigues,3.9802697754213097
josé sarmento,2.805674572168663
josé serrão de faria,2.78876764798337
josé viana,2.775194448957019
joão abel manta,1.2440542006892035
joão alberto,2.805674572168663
joão alfaro,2.7579997144823603
joão antas,2.5325203930083626
joão ayres,0.9826620502565104
joão catarrunas,2.7718607237980772
joão cutileiro,5.02425337457299
joão feijó,2.7665970817196897
joão fragoso,2.78876764798337
joão francisco vilhena,0.8810479553747236
joão hogan,4.143555113506788
joão jacinto,2.7726039836448795
joão marques ribeiro,2.147759102327733
joão moniz pereira,2.899838249403397
joão moreira,2.781837143325512
joão mourão,2.78876764798337
joão murillo,2.77001351833274
joão mário penicheiro??,2.77001351833274
joão nuno,2.76400661640755
joão pancada correia,1.8479071491987182
joão paramés,3.121959720393133
joão paulo,2.7579997144823603
joão ribeiro,1.3115680578826068
joão rodrigues,2.77001351833274
joão santiago,2.76400661640755
joão seguro,2.7878440452507016
joão teixeira de vasconcelos,2.77001351833274
joão vaz de carvalho,3.4375854884894057
joão vieira,3.608224574730341
juan gimeno guerri,5.398352230698149
julia easterling,2.77001351833274
julian santamaria,2.781837143325512
julião sarmento,2.7718607237980772
justino alves,5.062688401780839
júlio amaro marques brilhante pereira,2.775194448957019
júlio dos reis pereira,2.7726039836448795
júlio pereira,2.7579997144823603
júlio pomar,4.205715581144655
júlio resende,4.266912549506927
júlio santos,2.775194448957019
ken mosley,2.579108352403293
kika costa campos,1.9513298231452723
kiki lima,4.089704521588571
kira,2.7709371210654083
klaus zylla,2.7718607237980772
kurt r. h. sonderborg–,2.7579997144823603
l. cordeiro,2.805674572168663
lagoa henriques,2.781837143325512
laura cesana,2.805674572168663
laura galvãonasc.,2.77001351833274
laurent barata,2.7579997144823603
leal da câmara,2.775194448957019
leonel moura,2.7726039836448795
leonor alvim,2.77001351833274
ligia romano,2.805674572168663
ligia romanonasc.,2.7718607237980772
lima de carvalho,2.7718607237980772
lima de freitas,2.4645610866724956
lino cabral,2.805674572168663
lopes de sousa,2.7718607237980772
lourdes de castro,5.494124867538396
lourdes leite,2.5866020980235516
lucília de brito,2.775194448957019
lud (ludgero viegas pinto),2.781837143325512
luis badosa conill,2.805674572168663
luis bívar,2.775194448957019
luis pacheco,2.7579997144823603
luiz pizarro –,2.805674572168663
luiza caetano,2.805674572168663
lula cardoso ayres,2.775194448957019
luzia lage,2.9499451085940556
luís athouguia,4.172409024722365
luís camacho,1.8501296326380128
luís cruz,2.7878440452507016
luís cunha,2.7718607237980772
luís demée,2.773527586377548
luís dourdil,2.775194448957019
luís ferreira da silva,2.173666663163464
luís filipe de abreu,3.2101519925106126
luís geraldes,2.805674572168663
luís guimarães,2.7665970817196897
luís horácio carvalho,2.7579997144823603
luís liberato,2.7535026092037813
luís osório,2.77001351833274
luís pinto coelho,4.746458599926511
luís ralha,2.77001351833274
luís silveirinha,2.805674572168663
luís soares,2.805674572168663
luís vieira baptista,2.775194448957019
luísa barros,2.7579997144823603
luísa bastos,2.7332767424293216
luísa correia nogueira,2.6061948406529223
lázaro lozano,2.775194448957019
lívio de morais,0.8892886141190732
m. tavares (?),2.775194448957019
macias wlosinski,2.7718607237980772
magalhães,2.982351127203039
magnus de monserrate,2.805674572168663
maija isola,2.805674572168663
malangatana,5.768773366105372
maluda,4.445808757357029
man,2.781837143325512
manolo mantero,2.76400661640755
manuel amado,4.360781936967874
manuel amorim,2.7718607237980772
manuel baptista,2.837243900839571
manuel cabanas,2.7718607237980772
manuel caeiro,2.7709371210654083
manuel caldeira martins,2.773527586377548
manuel cargaleiro,5.866990423335316
manuel da silva,2.781837143325512
manuel figueira,2.7665970817196897
manuel gamboa,4.09064822604249
manuel lapa,2.6056551608219167
manuel lima,1.6702117646987522
manuel ribeiro de pavia,3.8176020875168795
manuel tavares,2.775194448957019
manuel valente alves,2.7665970817196897
manuela madureira,2.775194448957019
manuela pinheiro,2.7579997144823603
marcelino vespeira,2.781837143325512
marcelo,2.77001351833274
margarida cândida jorge,0.0
margarida d'orey menéres,1.252658823524064
margarida leão,2.7718607237980772
maria adelaide cabral,2.805674572168663
maria adelaide lima cruz,2.76400661640755
maria antónia santos,2.805674572168663
maria beatriz,2.773527586377548
maria capelo,2.7579997144823603
maria cremilda,2.7718607237980772
maria da conceição valdágua,2.805674572168663
maria da conceição veloso salgado,2.7718607237980772
maria de lurdes marques ferreira,2.77001351833274
maria do rosário camisa,2.775194448957019
maria fernanda amado,2.9630199106231485
maria gabriel,0.0
maria helena reis,2.2444672972791193
maria helena vieira da silva,5.3585678507540635
maria josé aguiar,2.773527586377548
maria josé oliveira,2.775194448957019
maria joão salema,2.7718607237980772
maria keil,2.9000175393796432
maria lousão,2.7726039836448795
maria velez,2.7579997144823603
mariana quito,0.6412373393653842
marianne brandt,2.7718607237980772
marta anahory,2.7726039836448795
marta moura,2.7579997144823603
marta soares,2.7718607237980772
martha telles,5.405980328642678
martim lapa,2.77001351833274
martinho da costa,2.7579997144823603
martins correia,3.9105242509514007
martins gomes,2.5372521301606676
matilde marçal,2.7649302191402185
max braumann,2.76400661640755
max ernst,2.7579997144823603
max papart,2.7718607237980772
max römer,2.775194448957019
mel ramos,2.7649302191402185
menez,4.488701138145944
michael barrett,4.5587997311321775
michael biberstein,2.7718607237980772
michael graves,0.0
michael sodeau,2.805674572168663
miguel barbosa,2.7579997144823603
miguel barros,2.78876764798337
miguel branco,2.76400661640755
miguel d'alte,4.588026436923045
miguel justino,2.77001351833274
miguel telles da gama,2.77001351833274
miguel yeco,4.475295932663119
miguel ángel bedate,2.77001351833274
minoru niizuma,2.805674572168663
moisés,3.2052684933614497
moisés duarte,2.775194448957019
molina,3.787680985371749
moreira neves,2.7718607237980772
mário alberto,2.781837143325512
mário américo,1.8204084462414045
mário botas,3.4133199297191132
mário cesariny,5.439868006400893
mário de oliveira,2.7718607237980772
mário dionísio,2.775194448957019
mário henrique leiria,2.7718607237980772
mário lopo,2.77001351833274
mário rita,2.7579997144823603
mário silva,3.326715784843018
mónica capucho,4.814291869648028
mónica corrêa mendes,2.77001351833274
nadir afonso,5.776793718324577
narciso conillo martins,3.5227949075310643
nardos,2.77001351833274
natália correia,2.775194448957019
natália de melo,2.775194448957019
neves e sousa,2.8741395654631154
nicolas morin,2.773527586377548
nicolas van parys,2.781837143325512
nicolau tudela,2.485262957131431
nikias skapinakis,3.1937573067069653
no information,1.9334404161861438
noel fignier,3.15855917476501
noronha andrade,2.7156224411197143
noronha da costa,4.702896114688839
nuno calvet,2.77001351833274
nuno de siqueira,2.8156974341926713
nuno felix da costa,0.0
nuno medeiroso,2.7665970817196897
nuno pintocoelho,2.76400661640755
nuno san payo,4.291296994576015
nuno santiago,2.77001351833274
nuno teixeira lopes,2.781837143325512
nádia duvall,2.775194448957019
octávio sérgio,2.775194448957019
olavo d'eça leal,2.7579997144823603
onik sahakian,2.77001351833274
ophelia marçal,1.920743529403565
oscar fuster,0.0
oskar pinto lobo,2.775194448957019
p. barreiros cardoso,1.9836260188085517
pablo picasso,3.4023136580271363
paco aguilar,2.7649302191402185
pat andrea,2.7649302191402185
paul delvaux,2.77001351833274
paul mathieu,2.77001351833274
paul wunderlich,2.775194448957019
paula carreira,2.775194448957019
paula rego,2.9352550867490192
paulo falcão,2.77001351833274
paulo ferreira,1.5515140671914653
paulo hernani,2.775194448957019
paulo neves,2.7718607237980772
paulo ossião,4.955096305096103
paulo teixeira pinto,2.805674572168663
paulo violante,2.775194448957019
pauloguilherme d'eça leal,1.8906871562069578
pedro avelar,2.77001351833274
pedro buisel,2.7665970817196897
pedro cabrita reis,4.296389830078873
pedro calapez,0.8559664061750435
pedro casqueiro,0.0
pedro castanheira,2.7878440452507016
pedro charters d'azevedo,3.1308873095900456
pedro chorão,5.099536979281673
pedro duarte freitas,2.7718607237980772
pedro empis,1.8466756788884933
pedro guimarães,2.77001351833274
pedro homem de mello,3.8780020811817377
pedro mónica,2.773527586377548
pedro olaio,2.6429692066662516
pedro olayo filho,2.805674572168663
pedro pintocoelho,1.2296264847046452
pedro portugal,5.474014898624659
pedro proença,1.8283734612977318
pedro saraiva,2.7709371210654083
pep agut,2.7649302191402185
peter klasen,2.7718607237980772
philippe starck,3.4705948603697965
pia fries,2.7718607237980772
piero fornasetti,3.159963963400637
pietrina checcacci,2.805674572168663
pires vieira,2.1042559291264973
pol gachon,2.336482413961751
pol gachonn.,2.7718607237980772
prudência,2.77001351833274
querubim lapa,2.0785794242730042
quintino sebastião,2.775194448957019
r. bonfim dias –,2.7579997144823603
rafael bordalo pinheiro,2.7718607237980772
rafael canogar,2.996544901209689
rafael casado,2.7718607237980772
raul da costa camelo,2.7608104205556816
raul de andrade,2.805674572168663
raúl indipwo,2.7718607237980772
raúl perez,3.424970654942264
real bordalo,3.1379231211605676
regina alexandre,2.7718607237980772
rené bertholo,3.837178940363853
rené bértholo,3.005989493109576
rené lalique,2.7878440452507016
renée gagnon,2.1700861135077165
ribeiro farinha,0.9241962407465937
ricardo cruzfilipe,2.7649302191402185
ricardo paula,2.775194448957019
ricardo wolfson,2.805674572168663
richard sapper,2.7718607237980772
rico sequeira,3.025284031362105
roberto,0.0
roberto araújo,2.7718607237980772
roberto chichorro,4.909563522757943
robyn denny,2.7718607237980772
rocha pinto,3.301818671250048
rodrigo ferreira,2.990709424483951
rogério amaral,2.859397920675886
rogério de freitas,2.775194448957019
rogério ribeiro,3.105709440461015
rogério timóteo,2.7718607237980772
rolando sá nogueira,2.0518859079454352
romy castro,2.775194448957019
rosa carvalho,2.781837143325512
rosario mineo,1.9012608248854006
rueffa,2.7579997144823603
rui aguiar,2.7579997144823603
rui algarvio,2.805674572168663
rui azevedo,1.7795423083213042
rui costa,2.775194448957019
rui coutinho,2.781837143325512
rui cunha,2.7718607237980772
rui de azevedo,2.1044705157758377
rui paes,1.8704497147791086
rui palma carlos,3.0371414025289147
rui patacho,2.7718607237980772
rui pimentel,2.781837143325512
ruy lupi manso,2.775194448957019
sacha ketoff,2.775194448957019
saldanha da gama,3.4527638793187374
salvador dalí,4.628436943837029
salvador roquette,2.775194448957019
sandra guedes,2.084747084282685
sandra quadros,0.0
sara maia,2.7665970817196897
saulo silveira,5.9652184609751755
saúl roque gameiro,2.227308819798065
sebastião resende,2.775194448957019
segismundo,2.76400661640755
seixas peixoto,2.773527586377548
shikhani,5.327985296123283
silva palmeira,4.14572812216452
silvestre raposo,2.805674572168663
simões de almeida júnior,2.77001351833274
siza vieira,2.424189603479571
soares branco,2.77001351833274
sobral centeno,3.8278719729867836
sofia areal,1.8704497147791086
sofia lucas,2.790434510562841
solraccarlos josé lopes gonçalves,0.0
sonia delaunay,2.76400661640755
sousa lopes,2.7718607237980772
stefano giovannoni,2.77001351833274
stela barreto,1.1968729356955115
stella de brito,0.8129395064390793
stuart carvalhais,3.2829626498466205
sérgio pinheiro,2.7665970817196897
sérgio pinhão,2.7718607237980772
sérgio pombo,4.2126183539852375
sérgio telles,2.916284575174037
teresa almeida,3.353904980003952
teresa almeida e silva,2.775194448957019
teresa furtado,2.805674572168663
teresa garrett,0.0
teresa grancha,2.7579997144823603
teresa segurado pavão,2.805674572168663
teresa vidigal,2.7665970817196897
tereza trigalhos,2.77001351833274
théo tobiasse,2.805674572168663
tiago cabeças,0.5842702179565175
tomthomaz de mello,3.457055472108958
tossan,2.775194448957019
urbano,2.7649302191402185
uzúmé,2.77001351833274
vanda vilela,2.7718607237980772
vasco araújo,2.775194448957019
vasco costa,2.77001351833274
vasco cunha monteiro,4.539178799529475
vasco monteiro,4.010194728039377
vasco torres,2.7718607237980772
velhô,2.483866644806222
vera,2.77001351833274
vera velez,2.7579997144823603
vespeira,2.1312903402663537
victor belém,2.7718607237980772
victor câmara,2.775194448957019
victor lajes,2.805674572168663
victor vasarely,2.77001351833274
victòria tubau,2.805674572168663
viegas,1.2762137988296984
virgílio domingues,2.7579997144823603
vitor costa,2.7878440452507016
vitor fortes,1.3275817602622086
vitor pomar,2.76400661640755
waldomiro sant'anna,2.805674572168663
xana,2.7718607237980772
zeca risques pereira,2.7878440452507016
zulmiro de carvalho,2.77001351833274
álvaro cunhal,2.781837143325512
álvaro lapa,5.121048497466262
álvaro passos,2.790434510562841
álvaro perdigão,2.7709371210654083
ângelo de sousa,4.729727726415079
ícaro victor pires,2.7718607237980772
óscar pinto lobo,0.5151737422263861
örni halloween,2.7649302191402185
