1 Author,median
josè duarte,2.6890518647007946
josé antónio da silva,2.6890518647007946
josé augusto,2.709731991389688
josé batista marques,2.68259120580551
josé cândido,2.6980641892094304
josé david,2.7130190648398838
josé de guimarães,5.056084448287616
josé de lemos,3.0684143921328886
josé de moura,2.7026790014954374
josé duarte,2.6890518647007946
josé emídio,2.6858215352531523
josé escada,2.6980641892094304
josé guimarães dos santos,2.71630613829008
josé joão brito,3.842931714022946
josé júlio andrade dos santos,2.709731991389688
josé leite,1.5350567286626973
josé lourenço,1.9526443848278197
josé luís alfaro,2.709731991389688
josé luís figueiroa,2.68259120580551
josé luís tinoco,2.6890518647007946
josé manuel ciria,2.699448672047795
josé moita macedo,2.6858215352531523
josé mouga,2.988282708366892
josé mourageorge,2.71630613829008
josé nuno da camâra pereira,2.703898090299559
josé paulo ferro,2.6935580269551123
josé pedro croft,3.6322614662034285
josé penicheiro,2.68259120580551
josé penincheiro,2.7130190648398838
josé pádua,2.4903361070553447
josé ribeiro,2.6935580269551123
josé roberto dias nobre,2.71630613829008
josé rodrigues,3.833630602947303
josé sarmento,2.6890518647007946
josé serrão de faria,2.699448672047795
josé viana,2.6980641892094304
joão abel manta,1.8407692782987533
joão alberto,2.709731991389688
joão alfaro,2.709731991389688
joão antas,2.7130190648398838
joão ayres,1.0918467225072337
joão catarrunas,2.68259120580551
joão cutileiro,5.482111401387155
joão feijó,2.7130190648398838
joão fragoso,2.7130190648398838
joão francisco vilhena,0.899984737476236
joão hogan,4.16174462196446
joão marques ribeiro,2.0530950960600767
joão moniz pereira,2.707185163749755
joão moreira,2.696161598597599
joão mourão,2.696161598597599
joão mário penicheiro??,2.68259120580551
joão nuno,2.707185163749755
joão pancada correia,0.0
joão paramés,2.981333920029762
joão paulo,2.709731991389688
joão ribeiro,1.2829508185789373
joão rodrigues,2.6890518647007946
joão santiago,2.7130190648398838
joão teixeira de vasconcelos,2.68259120580551
joão vaz de carvalho,3.7008502699349632
joão vieira,3.5562802919669187
juan gimeno guerri,3.547255162379328
julia easterling,2.6890518647007946
julian santamaria,2.7130190648398838
justino alves,5.053455841676512
júlio amaro marques brilhante pereira,2.6980641892094304
júlio dos reis pereira,2.71630613829008
júlio pereira,2.703898090299559
júlio pomar,4.426016039674232
júlio resende,4.412204613445395
júlio santos,2.709731991389688
ken mosley,2.4884324547831356
kika costa campos,1.8453354591554667
kiki lima,4.120091447720895
kira,2.68259120580551
klaus zylla,2.71630613829008
kurt r. h. sonderborg–,2.6890518647007946
l. cordeiro,2.709731991389688
lagoa henriques,2.6903276975074704
laura cesana,2.68259120580551
laura galvãonasc.,2.709731991389688
laurent barata,2.709731991389688
leal da câmara,2.6890518647007946
leonel moura,2.699391928045241
leonor alvim,2.6980641892094304
ligia romano,2.6890518647007946
ligia romanonasc.,2.699448672047795
lima de carvalho,2.709731991389688
lima de freitas,2.352368903998328
lino cabral,2.6890518647007946
lopes de sousa,2.6890518647007946
lourdes de castro,5.741959096783094
lourdes leite,2.5031283648938243
lucília de brito,2.6890518647007946
lud (ludgero viegas pinto),2.696161598597599
luis badosa conill,2.68259120580551
