,URL,Auction Number
125,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-443,443
565,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-442,442
313,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-441,441
95,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-440,440
410,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-439,439
336,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-438,438
534,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-437,437
314,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-436,436
536,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-435,435
158,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-434,434
178,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-433,433
286,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-432,432
208,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-431,431
310,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-430,430
115,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-429,429
329,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-428,428
538,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-427,427
28,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-426,426
124,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-425,425
390,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-424,424
375,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-423,423
324,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-422,422
141,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-421,421
228,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-420,420
64,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-419,419
513,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-418,418
192,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-417,417
319,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-416,416
422,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-415,415
111,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-414,414
404,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-413,413
386,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-412,412
