,URL,Auction Number
80,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-469,469
139,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-468,468
222,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-467,467
132,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-466,466
14,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-465,465
171,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-464,464
442,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-463,463
104,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-462,462
460,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-461,461
449,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-460,460
396,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-459,459
191,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-458,458
159,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-457,457
451,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-456,456
326,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-455,455
63,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-454,454
269,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-453,453
192,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-452,452
475,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-451,451
158,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-450,450
580,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-449,449
459,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-448,448
194,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-447,447
508,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-446,446
323,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-445,445
367,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-444,444
488,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-443,443
525,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-442,442
355,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-441,441
214,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-440,440
444,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-439,439
341,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-438,438
523,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-437,437
168,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-436,436
518,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-435,435
467,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-434,434
106,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-433,433
161,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-432,432
352,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-431,431
264,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-430,430
343,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-429,429
471,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-428,428
564,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-427,427
133,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-426,426
431,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-425,425
372,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-424,424
480,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-423,423
363,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-422,422
